非集成业务场景清单,,,,,,,,,,,,,,,,,
序号,一级目录,二级目录,三级目录编码,三级目录,业务场景编码,明细业务场景,涉及借方科目,涉及贷方科目,业务场景说明,"对应表单名称
（主表单）","对应表单名称
（业务信息表）",支持性附件名称,表单设计单位,表单设计人,场景状态,备注,
760,总账业务,税费计提及处理,A7_04_0001,税费计提,A76008,草原植被恢复费计提,税费-其他税费,应交税费-行政性收费-其他,是指根据国家相关法律法规，对因工程建设、矿藏开采等原因征用或使用草原，以及临时占用草原且未履行恢复义务的单位和个人，按照规定的标准和方法，计算并提取应缴纳的草原植被恢复费的业务,税费计提单,草原植被恢复费计提表,,大庆中心,杨柳青,正常,,
761,总账业务,税费计提及处理,A7_04_0001,税费计提,A79026,矿产资源补偿费计提,5012060000税费-矿产资源补偿费,"2221002016应交税费-行政性收费-矿产资源补偿费-原油
2221002017应交税费-行政性收费-矿产资源补偿费-天然气
2221002997应交税费-行政性收费-矿产资源补偿费-其他",是指采矿权人（矿山企业或个人）根据国家相关法律法规，按照其开采矿产资源的产量、销售价格（或核定价格）及规定的费率，计算并提取应向国家缴纳的矿产资源补偿费的业务,税费计提单,矿产资源补偿费计提表,,大庆中心,王秘,正常,,
762,总账业务,税费计提及处理,A7_04_0001,税费计提,A79027,探矿权价款计提,5012120000税费-探矿权价款,2221002998应交税费-行政性收费-其他,是指探矿权人根据国家相关法律法规，按照规定的方法和标准，计算并提取应向国家缴纳的探矿权价款的业务,税费计提单,探矿权价款计提表,,大庆中心,王秘,正常,,
763,总账业务,税费计提及处理,A7_04_0001,税费计提,A79028,探矿权使用费计提,5012130000税费-探矿权使用费,2221002009应交税费-行政性收费-探矿权使用费,是指探矿权人根据国家相关规定，按照勘查年度和区块面积计算并提取应缴纳的探矿权使用费的业务,税费计提单,探矿权使用费计提表,,大庆中心,杨柳青,正常,,
764,总账业务,税费计提及处理,A7_04_0001,税费计提,A79029,自发电上交基金计提表,税金及附加-其他业务税金及附加-其他,应交税费-行政性收费-其他,用于处理满足《可再生能源发展基金征收使用管理暂行办法》、《国家重大水利工程建设基金征收使用管理暂行办法》等政策法规要求的自发电缴纳的行政性收费项目,税费计提单,自发电上交基金计提表,,西安中心,白婧,正常,,
765,总账业务,税费计提及处理,A7_04_0001,税费计提,A79024,境外个人所得税计提,5013100000境外税费-个人所得税,"2228010001应交境外税金-应交个人所得税-中方
2228010002应交境外税金-应交个人所得税-外方",适用于境外企业单独计提并申报其在境外当地应缴纳的个人所得税,税费计提单,境外个人所得税计提表,,西安中心,苗彤玲,正常,,
766,总账业务,税费计提及处理,A7_04_0003,待抵扣待认证进项税转出（转回）,A73005,进项税转入至待认证,2221001031应交税费-应交税金-待认证进项税额,2221001003应交税费-应交税金-应交增值税-进项税额-进项税额,是指根据税务相关规定，将已经获得增值税发票但是还未勾选认证的业务从进项税科目转入待认证的业务,待抵扣待认证进项税转出（转回）单,进项税转入至待认证表,,西安中心,苗露润,正常,,
767,总账业务,税费计提及处理,A7_04_0003,待抵扣待认证进项税转出（转回）,A73006,待认证转出至进项税,2221001003应交税费-应交税金-应交增值税-进项税额-进项税额,2221001031应交税费-应交税金-待认证进项税额,是指根据税务相关规定，将已经转入待认证的业务转入进项税明细科目的业务,待抵扣待认证进项税转出（转回）单,待认证转出至进项税表,,西安中心,苗露润,正常,,
768,总账业务,税费计提及处理,A7_04_0003,待抵扣待认证进项税转出（转回）,A73007,进项税转入至待抵扣,2221001030应交税费-应交税金-待抵扣进项税额,2221001003应交税费-应交税金-应交增值税-进项税额-进项税额,是指根据税务相关规定，将已经记入进项税的业务转入待抵扣进项税明细科目的业务,待抵扣待认证进项税转出（转回）单,进项税转入至待抵扣表,,西安中心,苗露润,正常,,
769,总账业务,税费计提及处理,A7_04_0003,待抵扣待认证进项税转出（转回）,A73008,待抵扣转出至进项税,2221001003应交税费-应交税金-应交增值税-进项税额-进项税额,2221001030应交税费-应交税金-待抵扣进项税额,是指根据税务相关规定，将已经转入待抵扣进项税的业务转入进项税科目的业务,待抵扣待认证进项税转出（转回）单,待抵扣转出至进项税表,,西安中心,苗露润,正常,,
770,总账业务,税费计提及处理,A7_04_0007,合同负债转待转销项税,A73019,合同负债转待转销项税,"2204001000合同负债-合同负债
2204002000合同负债-客存油
2204003000合同负债-加油卡
2204004000合同负债-加油卡积分
2204006000合同负债-充值卡",2221001032应交税费-应交税金-待转销项税额,是指企业已收或应收客户对价而应向客户转让商品的义务，在账务处理时应按照合同约定税率转出相应待转销项税额的业务,合同负债转待转销项税单,合同负债转待转销项税表,,西安中心,苗露润,正常,,
771,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73002,通用进项税转出,除明细场景之外的科目,"2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中符合进项税转出情况的业务处理，如员工费用、折旧及摊销费、税费、技术服务费、咨询审计费、信息系统维护费、警卫消防费、内部产品劳务、炼化修理费、水费、电费、包装费、装卸费、仓储费、工程分包成本、安装设备费用、资本化利息等费用。,进项税转出单,通用进项税转出表,,西安中心,高崇洋,正常,,
772,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73021,检测费进项税转出,5047030000检测费,"2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理成本费用中检测费进项税转出的情况。,进项税转出单,检测费进项税转出表,,西安中心,高崇洋,正常,,
773,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73022,财产保险费及防灾防损费进项税转出,"5041000000财产保险费
5047520000保险业务差异调整
5047550000防灾防损费","2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中预先提取但尚未支付的财产保险费、保险业务差异调整及防灾防损费。,进项税转出单,财产保险费及防灾防损费进项税转出表,,西安中心,高崇洋,正常,,
774,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73023,材料、燃料、动力费进项税转出,"5001010000原料-原油
5001020000原料-原料油
5001030000原料-原料气
5001040000原料-添加剂
5001050000原料-化工直接原料
、、、、、、等51个材料、燃料。动力费类成本科目","2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用的材料、燃料、动力费等进项税转出工作。,进项税转出单,材料、燃料、动力费进项税转出表,,西安中心,高崇洋,正常,,
775,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73024,维护及修理费进项税转出,"5019010000维护及修理费-检修材料费
5019020000维护及修理费-外委修理费","2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中维护及修理费进项税转出的场景。,进项税转出单,维护及修理费进项税转出表,,西安中心,高崇洋,正常,,
776,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73025,运输费进项税转出,5017000000运输费,"2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中预先提取但尚未支付的运输费。,进项税转出单,运输费进项税转出表,,西安中心,高崇洋,正常,,
777,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73026,资本化利息进项税转出,5047160000资本化利息,"2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中资本化利息适合进项税转出的场景。,进项税转出单,资本化利息进项税转出表,,西安中心,高崇洋,正常,,
778,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73027,租赁费进项税转出,5044010000租赁费,"2221001007应交税费-应交税金-应交增值税-进项税额转出-免税项目
2221001008应交税费-应交税金-应交增值税-进项税额转出-汇算退税
2221001009应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2221001010应交税费-应交税金-应交增值税-进项税额转出-简易征收
2221001011应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001995应交税费-应交税金-应交增值税-进项税额转出-其他",用于处理从成本费用中租赁费符合进项税转出场景的业务。,进项税转出单,租赁费进项税转出表,,西安中心,高崇洋,正常,,
779,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73004,异地加油卡清分进项税转出,2221001003应交税费-应交税金-应交增值税-进项税额-进项税额,2221001017应交税费-应交税金-应交增值税-进项税额转出-加油卡异地消费清算,甲用户在A省办卡，到B省加油；导致库存和现金流在A、B省之间存在差异，根据总部和税务部门沟通，每月由总部根据内部交易结果向A省公司提供异地清分总额，由A省向B省开具增值税发票，B省取得增值税发票后不再进行抵扣。,进项税转出单,异地加油卡清分进项税转出表,,西安中心,苗露润,正常,,
780,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73003,留抵退税进项税转出,2221001033应交税费-应交税金-增值税留抵税额-退税,2221001018应交税费-应交税金-应交增值税-进项税额转出-留抵退税,所谓的留抵税额，简单可理解为当进项税额大于销项税额时，即出现了留抵税额。一般而言，形成留抵税额的原因有很多，比如集中投资、货物生产周期较长等。 由于已形成的较大金额进项税长时间无法抵扣，经税局审批，可以通过留抵退税行为收回部分已缴纳进项税额,进项税转出单,留抵退税进项税转出表,,西安中心,苗露润,正常,,
781,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73028,工会及职教费进项税转出,"2211007000 应付职工薪酬-工会经费
2211008000 应付职工薪酬-职工教育经费","2221001011 应交税费-应交税金-应交增值税-进项税额转出-免抵退税
2221001012 应交税费-应交税金-应交增值税-进项税额转出-纳税检查
2221001013 应交税费-应交税金-应交增值税-进项税额转出-红字专用发票信息表注明的进项税额
2221001014 应交税费-应交税金-应交增值税-进项税额转出-异常凭证
2221001015 应交税费-应交税金-应交增值税-进项税额转出-上期留抵税额抵减欠税
2221001016 应交税费-应交税金-应交增值税-进项税额转出-非正常损失
2221001017 应交税费-应交税金-应交增值税-进项税额转出-加油卡异地消费清算
2221001018 应交税费-应交税金-应交增值税-进项税额转出-留抵退税
2221001995 应交税费-应交税金-应交增值税-进项税额转出-其他",是指企业将税法规定的不允许抵扣的，应核算进工会经费及职教费，而误进行了抵扣核算，这时业务人员需要做进项税额转出。,进项税转出单,工会及职教费进项税转出表,,西安中心,高崇洋,正常,,
782,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73029,职工福利费进项税转出,"5010120000 员工费-福利费
2211002018 应付职工薪酬-应付福利费-福利费支出 （明细科目由转出项目推导）","2221001009 应交税费-应交税金-应交增值税-进项税额转出-集体福利、个人消费
2211002001 应付职工薪酬-应付福利费-提取数",是指企业将税法规定的不允许抵扣的，应核算进福利费，而误进行了抵扣核算 ，这时业务人员需要做进项税额转出。,进项税转出单,职工福利费进项税转出表,,西安中心,高崇洋,正常,,
783,总账业务,税费计提及处理,A7_04_0002,进项税转出,A73034,物资途中损耗进项税转出,1901001000待处理财产损溢-待处理流动资产损溢,2221001995应交税费-应交税金-应交增值税-进项税额转出-其他,用于处理物资在运输调拨途中发生损耗的进项税转出情况的业务处理。,进项税转出单,物资途中损耗进项税转出表,,大庆中心,马丽,正常,,
784,总账业务,税费计提及处理,A7_04_0005,增值税出口退税,A73011,增值税出口退税,"2221001023应交税费-应交税金-应交增值税-出口抵减内销商品应纳税
1117001000应收出口退税款-增值税",2221001006应交税费-应交税金-应交增值税-出口退税,是指企业在国际贸易业务中，对报关出口的货物退还或免征其在国内各生产和流通环节按税法规定缴纳的增值税的业务,增值税出口退税单,增值税出口退税表,,西安中心,苗露润,正常,,
785,总账业务,税费计提及处理,A7_04_0004,增值税月末结转,A73009,结转未交、多交增值税,"2221001019应交税费-应交税金-应交增值税-转出未交增值税
2221001028应交税费-应交税金-未交增值税-本期已交数","2221001027应交税费-应交税金-未交增值税-本期转入数
2221001020应交税费-应交税金-应交增值税-转出多交增值税",是指企业月末将应交增值税中未交或者多交结转至未交增值税中的业务,增值税月末结转单,结转未交、多交增值税表,,西安中心,苗露润,正常,,
786,总账业务,税费计提及处理,A7_04_0004,增值税月末结转,A73010,结转预交及抵、减增值税,"2221001022应交税费-应交税金-应交增值税-减免税款
2221001028应交税费-应交税金-未交增值税-本期已交数","2221001029应交税费-应交税金-预交增值税
6302998000其他收益-其他
6302009001其他收益-进项税加计抵减应纳税额-生活性服务业
6302009002其他收益-进项税加计抵减应纳税额-生产性服务业",是指企业月末将应交增值税中预交增值税及抵、减增值税结转至未交增值税中的业务,增值税月末结转单,结转预交及抵、减增值税表,,西安中心,苗露润,正常,,
787,总账业务,税费计提及处理,A7_04_0004,增值税月末结转,A73020,分摊结转未交、多交增值税,"2221001019应交税费-应交税金-应交增值税-转出未交增值税
2221001028应交税费-应交税金-未交增值税-本期已交数","2221001027应交税费-应交税金-未交增值税-本期转入数
2221001020应交税费-应交税金-应交增值税-转出多交增值税",适用于企业月末将应交增值税销项税与应交增值税进项税的差额部分（增值税未缴部分或多缴分部）转至未交增值税中并按照利润中心进行分摊,增值税月末结转单,分摊结转未交、多交增值税表,,西安中心,李丹琪,正常,,
788,总账业务,税费计提及处理,A7_04_0004,增值税月末结转,A73033,结转未交、多交增值税表（境外）,"未交：
应交境外税金-应交增值税-转出未交增值税
应交：
应交境外税金-未交增值税-本期已交数","未交：
应交境外税金-未交增值税-本期转入数
应交：
应交境外税金-应交增值税-转出多交增值税",适用于企业月末将应交增值税销项税与应交增值税进项税的差额部分（增值税未缴部分或多缴分部）转至未交增值税中；适用于企业月末将应交增值税销项税与应交增值税进项税的差额部分（增值税未缴部分或多缴分部）转至未交增值税中并按照利润中心进行分摊；适用于企业月末将预交增值税转至未交增值税中；涵盖增值税抵减项目及增值税加计抵减项目的结转业务,税费计提单,结转未交、多交增值税表（境外）表,,成都中心,陈俊儒,正常,,
789,总账业务,税费计提及处理,A7_04_0009,所得税收拨款,A73031,所得税拨款,无需生成凭证,无需生成凭证,股份公司向所属单位拨付预缴企业所得税,所得税收拨款单,所得税拨款表,,大庆中心,吴月明,正常,,
790,总账业务,税费计提及处理,A7_04_0009,所得税收拨款,A73032,所得税退税,无需生成凭证,无需生成凭证,股份公司向所属单位收缴退回预缴企业所得税,所得税收拨款单,所得税退税表,,大庆中心,吴月明,正常,,
791,总账业务,税费计提及处理,A7_04_0008,税费及行政性收费结算（不支付）,A73030,税费及行政性收费缴纳（不支付）,"应交税费-应交税金-代扣代交增值税
应交税费-应交税金-预交增值税
应交税费-应交税金-消费税-汽油
应交税费-应交税金-消费税-柴油
应交税费-应交税金-消费税-石脑油
应交税费-应交税金-消费税-燃料油
应交税费-应交税金-消费税-航煤
应交税费-应交税金-消费税-溶剂油
应交税费-应交税金-消费税-润滑油
应交税费-应交税金-消费税-其他
应交税费-应交税金-资源税-原油
应交税费-应交税金-资源税-天然气
应交税费-应交税金-资源税-凝析油
应交税费-应交税金-资源税-煤层气
应交税费-应交税金-资源税-黏土
应交税费-应交税金-资源税-砂石
应交税费-应交税金-资源税-页岩气
应交税费-应交税金-资源税-致密气
应交税费-应交税金-资源税-硫化氢气
应交税费-应交税金-资源税-天然气水合物
应交税费-应交税金-资源税-油页岩
应交税费-应交税金-资源税-油砂
应交税费-应交税金-资源税-天然沥青
应交税费-应交税金-资源税-石煤
应交税费-应交税金-资源税-地热
应交税费-应交税金-资源税-其他
应交税费-应交税金-水资源税-地表水
应交税费-应交税金-水资源税-地下水
应交税费-应交税金-应交所得税-预交
应交税费-应交税金-应交所得税-汇算清缴
应交税费-应交税金-土地增值税
应交税费-应交税金-城市维护建设税-增值税
应交税费-应交税金-城市维护建设税-消费税
应交税费-应交税金-房产税-自用房产
应交税费-应交税金-房产税-出租房产
应交税费-应交税金-城镇土地使用税-大城市
应交税费-应交税金-城镇土地使用税-中等城市
应交税费-应交税金-城镇土地使用税-小城市
应交税费-应交税金-城镇土地使用税-县城、建制镇、工矿区
应交税费-应交税金-车船使用税
应交税费-应交税金-个人所得税
应交税费-应交税金-关税
应交税费-应交税金-印花税
应交税费-应交税金-耕地占用税
应交税费-应交税金-契税-房屋
应交税费-应交税金-契税-土地使用权
应交税费-应交税金-车辆购置税
应交税费-应交税金-环境保护税
应交税费-应交税金-其他
应交税费-行政性收费-应交教育费附加-教育费附加-增值税
应交税费-行政性收费-应交教育费附加-教育费附加-消费税
应交税费-行政性收费-应交教育费附加-地方教育费-增值税
应交税费-行政性收费-应交教育费附加-地方教育费-消费税
应交税费-行政性收费-矿区使用费
应交税费-行政性收费-河道维护费
应交税费-行政性收费-水利建设基金
应交税费-行政性收费-文化事业建设费
应交税费-行政性收费-探矿权使用费
应交税费-行政性收费-矿业权出让收益
应交税费-行政性收费-采矿权使用费
应交税费-行政性收费-矿业权占用费
应交税费-行政性收费-水资源费
应交税费-行政性收费-残疾人就业保证金
应交税费-行政性收费-人防费
应交税费-行政性收费-矿产资源补偿费-原油
应交税费-行政性收费-矿产资源补偿费-天然气
应交税费-行政性收费-矿产资源补偿费-其他
应交税费-行政性收费-石油特别收益金-自营
应交税费-行政性收费-石油特别收益金-未上市合作
应交税费-行政性收费-石油特别收益金-地方合作
应交税费-行政性收费-石油特别收益金-外方合作
应交税费-行政性收费-水土保持补偿费
应交税费-行政性收费-排污费
应交税费-行政性收费-价格调节基金
应交税费-行政性收费-其他
其他应收款-代垫款项-应向职工收取垫付款项-个人所得税
其他应收款-业务周转金
其他应收款-其他
其他应付款-内部短期款项
其他应付款-其他","2202001000应付账款-应付账款
2221001080应交税费-应交税金-个人所得税
2241下所有明细科目
1013001000内部存款-内部结算存款
2228011001应交境外税金-代扣代缴税-代扣代缴增值税
2228011002应交境外税金-代扣代缴税-代扣企业所得税
2228011998应交境外税金-代扣代缴税-其他
2228023000应交境外税金-预扣税",包括核销、暂不支付的的增值税、消费税、资源税、个税、教育费附加、水资源费、水土保持补偿费等税费及行政性收费业务,税费及行政性收费结算单（不支付）,税费及行政性收费缴纳（不支付）表,,大庆中心,夏天,正常,,
792,总账业务,其他税务业务,A7_05_0001,递延所得税资产（负债）确认,A75002,递延所得税资产确认（转回）,"1811020001 递延所得税资产-生产性生物资产-折旧折耗
1811020002 递延所得税资产-生产性生物资产-减值准备
1811020003 递延所得税资产-生产性生物资产-评估减值
1811021001 递延所得税资产-在建工程-减值准备
1811022001 递延所得税资产-工程物资-减值准备
1811023001 递延所得税资产-无形资产-减值准备
1811023002 递延所得税资产-无形资产-累计摊销
1811024001 递延所得税资产-使用权资产-减值准备
1811024002 递延所得税资产-使用权资产-累计摊销
1811024998 递延所得税资产-使用权资产-其他
1811025001 递延所得税资产-商誉-减值准备
1811026001 递延所得税资产-开发支出-减值准备
1811027001 递延所得税资产-预计负债-弃置费用计提的财务费用
1811028001 递延所得税资产-贷款-损失准备
1811029001 递延所得税资产-买入返售金融资产-损失准备
1811030001 递延所得税资产-抵债资产-减值准备
1811031001 递延所得税资产-存放同业-坏账准备
1811032001 递延所得税资产-拆出资金-损失准备
1811033001 递延所得税资产-其他资产-广告费支出
1811033002 递延所得税资产-其他资产-开办费支出
1811033003 递延所得税资产-其他资产-超过原值20%的固定资产大修理支出
1811033998 递延所得税资产-其他资产-其他
1811034001 递延所得税资产-衍生金融负债-公允价值变动
1811035001 递延所得税资产-应付职工薪酬-工资
1811035002 递延所得税资产-应付职工薪酬-教育经费
1811036000 递延所得税资产-租赁负债
1811037001 递延所得税资产-预计负债-未决诉讼
1811037002 递延所得税资产-预计负债-担保损失
1811037003 递延所得税资产-预计负债-贷款承诺
1811038000 递延所得税资产-递延收益
1811039000 递延所得税资产-其他负债
1811040000 递延所得税资产-可结转以后年度的亏损
1811007001 递延所得税资产-预付账款-坏账准备
1811008001 递延所得税资产-合同取得成本-减值准备
1811009001 递延所得税资产-合同履约成本-减值准备
1811001001 递延所得税资产-交易性金融资产-公允价值变动
1811002001 递延所得税资产-衍生金融资产-公允价值变动
1811003001 递延所得税资产-应收股利-坏账准备
1811004001 递延所得税资产-应收利息-坏账准备
1811005001 递延所得税资产-应收账款-坏账准备
1811006001 递延所得税资产-其他应收款-坏账准备
1811010001 递延所得税资产-存货-跌价准备
1811011001 递延所得税资产-合同资产-减值准备
1811012001 递延所得税资产-持有待售资产-减值准备
1811013001 递延所得税资产-债权投资-减值准备
1811014001 递延所得税资产-其他债权投资-减值准备
1811014002 递延所得税资产-其他债权投资-公允价值变动
1811015001 递延所得税资产-长期股权投资-减值准备
1811015002 递延所得税资产-长期股权投资-评估减值
1811016001 递延所得税资产-其他权益工具投资-公允价值变动
1811017001 递延所得税资产-油气资产-折旧折耗
1811017002 递延所得税资产-油气资产-弃置费用
1811017003 递延所得税资产-油气资产-减值准备
1811017004 递延所得税资产-油气资产-评估减值
1811018001 递延所得税资产-投资性房地产-减值准备
1811018002 递延所得税资产-投资性房地产-公允价值变动
1811019001 递延所得税资产-固定资产-折旧折耗
1811019002 递延所得税资产-固定资产-减值准备
1811019003 递延所得税资产-固定资产-评估减值",6801002000所得税费用-递延所得税费用,是指根据资产、负债的账面价值与其计税基础不同产生可抵扣暂时性差异的，或应纳税暂时性差异，确认递延所得税资产，同时确认递延所得税费用的业务,递延所得税资产（负债）确认单,递延所得税资产确认（转回）表,,西安中心,苗露润,正常,,
793,总账业务,其他税务业务,A7_05_0001,递延所得税资产（负债）确认,A75003,递延所得税负债确认（转回）,6801002000所得税费用-递延所得税费用,"2901001001 递延所得税负债-交易性金融资产-公允价值变动
2901002001 递延所得税负债-衍生金融资产-公允价值变动
2901003001 递延所得税负债-其他债权投资-公允价值变动
2901004001 递延所得税负债-长期股权投资-评估增值
2901005001 递延所得税负债-其他权益工具投资-公允价值变动
2901006001 递延所得税负债-油气资产-折旧折耗
2901006002 递延所得税负债-油气资产-弃置费用
2901006003 递延所得税负债-油气资产-评估增值
2901007001 递延所得税负债-投资性房地产-公允价值变动
2901007002 递延所得税负债-投资性房地产-评估增值
2901008001 递延所得税负债-固定资产-折旧折耗
2901008002 递延所得税负债-固定资产-评估增值
2901009001 递延所得税负债-生产性生物资产-折旧折耗
2901009002 递延所得税负债-生产性生物资产-评估增值
2901010001 递延所得税负债-无形资产-累计摊销
2901010002 递延所得税负债-无形资产-评估增值
2901011001 递延所得税负债-使用权资产-累计摊销
2901011002 递延所得税负债-使用权资产-其他
2901012000 递延所得税负债-其他资产
2901013001 递延所得税负债-衍生金融负债-公允价值变动
2901014000 递延所得税负债-其他负债
",是指根据资产、负债的账面价值与其计税基础不同产生可抵扣暂时性差异的，或应纳税暂时性差异，确认递延所得税负债，同时确认递延所得税费用的业务,递延所得税资产（负债）确认单,递延所得税负债确认（转回）表,,西安中心,苗露润,正常,,
